"","Beta","Type","Bias","RMSE","MSE","Estimates_se","Simulation_se","group"
"1",1,"MLE",0.0017860839330114,0.047894759573775,0.00229390799462971,0.0715925215402465,0.0748368061117305,"negative"
"2",0.75,"MLE",0.0014398482377589,0.0458572948301061,0.00210289148913527,0.0666807964586604,0.0659750953687198,"negative"
"3",0.5,"MLE",-0.000264384210913618,0.043548419660492,0.00189646485492633,0.0632166305213318,0.0628797993965262,"negative"
"4",0.25,"MLE",-0.000481319184878682,0.0432732300323443,0.00187257243743219,0.0615834803820119,0.0637020056177381,"negative"
"5",0,"MLE",0.00419517280730925,0.0411281746678457,0.00169152675150882,0.0633647273428886,0.0614497130652051,"negative"
"6",-0.25,"MLE",-0.00248734989419384,0.0428620572870834,0.00183715595488122,0.0660812654161475,0.0644243668398832,"negative"
"7",-0.5,"MLE",-0.00364922342510748,0.051186584990157,0.00262006648295457,0.072710413337652,0.0754743153216667,"negative"
"8",-0.75,"MLE",-0.00636349931097546,0.0539313813591727,0.00290859389530852,0.0819524859436933,0.0815776631833665,"negative"
"9",-1,"MLE",-0.0045189459020169,0.062172824233256,0.00386546007313935,0.0911359790916052,0.0931674336287683,"negative"
"10",1,"IPW",0.00187325286357695,0.0502745198061324,0.00252752734173719,0.077513773063534,0.0809314302936883,"negative"
"11",0.75,"IPW",0.00326358087647627,0.0471350743207325,0.00222171523122097,0.0703194302036172,0.0704555102719989,"negative"
"12",0.5,"IPW",-0.000102811439037459,0.042223803516544,0.00178284958340371,0.0648916397146655,0.0639525931311208,"negative"
"13",0.25,"IPW",-0.000424796582445906,0.0425985752829602,0.00181463861613803,0.0620655950002256,0.0638969233596247,"negative"
"14",0,"IPW",0.00426304438163755,0.0409632001570793,0.00167798376710894,0.0635891233012272,0.0614458163386344,"negative"
"15",-0.25,"IPW",-0.00225753868765974,0.0430131893944116,0.00185013446187952,0.0664154764688458,0.0644488615906423,"negative"
"16",-0.5,"IPW",-0.00369496314864765,0.0515748315153576,0.00265996324583753,0.0735298338289155,0.0764005480249118,"negative"
"17",-0.75,"IPW",-0.00582275467656558,0.0572216142291732,0.00327431313499232,0.0837729870083668,0.0826145672112268,"negative"
"18",-1,"IPW",-0.00533195353193079,0.0648505945114583,0.00420559960848959,0.0935523899628992,0.0956252063193476,"negative"
