"","Beta","Type","Bias","RMSE","MSE","Estimates_se","Simulation_se","case","RMSE_scale"
"1",2,"MLE",0.115850259214255,0.259578264081845,0.0673808751837438,0.363671163904335,0.439017351091364,50,0.0259578264081845
"2",1.5,"MLE",0.0608530092993857,0.207286815632237,0.0429678239349528,0.303414312397274,0.33212009802354,50,0.0207286815632237
"3",1,"MLE",0.0467758108981973,0.179971037473595,0.0323895743293222,0.252288778459783,0.274518949982846,50,0.0179971037473595
"4",0.5,"MLE",0.0242181832430251,0.138043466699903,0.0190559986985273,0.21634041423235,0.21849166646549,50,0.0138043466699903
"5",0,"MLE",0.00585762352526509,0.130151937874087,0.0169395269323803,0.200643941443757,0.198487949408443,50,0.0130151937874087
"6",-0.5,"MLE",-0.0201573134144776,0.144761536300065,0.020955902391955,0.206725235731638,0.219502097182208,50,0.0144761536300065
"7",-1,"MLE",-0.0439864889212176,0.174112297228299,0.0303150920461154,0.243648825147707,0.272780068691296,50,0.0174112297228299
"8",-1.5,"MLE",-0.0469632726516642,0.175519122133745,0.0308069622346006,0.262201717683909,0.280923047481146,50,0.0175519122133745
"9",-2,"MLE",-0.138877268126667,0.264841896567015,0.0701412301772135,0.383375732107322,0.507270837797784,50,0.0264841896567015
"10",2,"IPW",0.556200331714226,0.561746105088766,0.315558686582399,0.451328034992318,0.992061503660624,50,0.0561746105088766
"11",1.5,"IPW",0.353728780985085,0.392848166383101,0.154329681830565,0.396133842012751,0.695876925032395,50,0.0392848166383101
"12",1,"IPW",0.187168719536378,0.270096419313279,0.0729520757258545,0.315386248072423,0.49041958034908,50,0.0270096419313279
"13",0.5,"IPW",0.0531504603085884,0.151361981459511,0.0229104494313494,0.230063692381352,0.275643834073436,50,0.0151361981459511
"14",0,"IPW",0.00746282169403197,0.13099696103683,0.0171602038008846,0.20560963138335,0.206642040714727,50,0.013099696103683
"15",-0.5,"IPW",-0.0441715375392387,0.165477196899959,0.0273827026938678,0.22568346117438,0.260087647286698,50,0.0165477196899959
"16",-1,"IPW",-0.16120061864693,0.254098168405852,0.0645658791872085,0.305459703919489,0.417074881340268,50,0.0254098168405852
"17",-1.5,"IPW",-0.233398992743188,0.329951795854715,0.108868187587751,0.335357248594291,0.534225582403383,50,0.0329951795854715
