"","Beta","Type","Bias","RMSE","MSE","Estimates_se","Simulation_se","ratio","RMSE_scale"
"1",2,"MLE",-0.000142388711021342,0.0598635535236737,0.00358364504048174,0.0882805433103826,0.0888965651063119,"1:1",0.00133858975053631
"2",1.5,"MLE",0.00619685276454661,0.0440473213419273,0.001940166517399,0.0712631095143309,0.067549757019091,"1:1",0.000984928047473267
"3",1,"MLE",0.00457986460347579,0.0373258427708451,0.00139321853855385,0.0571476004616902,0.0577334291909378,"1:1",0.000834631217530789
"4",0.5,"MLE",0.00269216006549765,0.0312211738806994,0.000974761698488869,0.047701247723116,0.047524239828422,"1:1",0.000698126671345849
"5",0,"MLE",0.00110986405333192,0.0288618642011924,0.000833007205168071,0.0446427799787899,0.0444894697886014,"1:1",0.000645370903112339
"6",-0.5,"MLE",-5.85021480742109e-05,0.0312783179855082,0.000978333176002566,0.0480462607478175,0.0466608005617138,"1:1",0.000699404452374506
"7",-1,"MLE",-0.00375068506456964,0.0359472755035185,0.00129220661612586,0.0568967738874712,0.0555936846621893,"1:1",0.000803805516317803
"8",-1.5,"MLE",-0.00607796759079525,0.0418732370970776,0.00175336798498807,0.0700550553955824,0.067671578869944,"1:1",0.000936314045870314
"9",-2,"MLE",-0.0045587561164809,0.0530190455158573,0.00281101918741255,0.0880085693668193,0.0840887066404698,"1:1",0.00118554189875612
"10",2,"IPW",0.0010572459977765,0.0709963535389655,0.00504048221582978,0.104938776205835,0.103686423676277,"1:1",0.00158752672667735
"11",1.5,"IPW",0.00813494671424711,0.052929291496445,0.00280150989831564,0.082604867650458,0.0774649922510957,"1:1",0.00118353493786953
"12",1,"IPW",0.00465935503062613,0.0422465525630029,0.00178477120345856,0.0637957113875282,0.0628005342915907,"1:1",0.000944661633458923
"13",0.5,"IPW",0.0035652193972332,0.0326085639143304,0.00106331844055497,0.0495809845755645,0.0495432393772992,"1:1",0.000729149655610895
"14",0,"IPW",0.00116329150034803,0.0293286147759068,0.000860167644673541,0.0445647501701649,0.0445611362256626,"1:1",0.000655807763248325
"15",-0.5,"IPW",-0.000327970689869166,0.0341561073011918,0.00116663966597052,0.0498859212515348,0.0487927877711575,"1:1",0.000763753777722416
"16",-1,"IPW",-0.00658454019189489,0.0397396193649156,0.00157923734726837,0.0630697905373888,0.0623861090597927,"1:1",0.000888604902999183
"17",-1.5,"IPW",-0.0087665748586411,0.0542541613446212,0.00294351402320819,0.0807023194326225,0.0803168792471546,"1:1",0.00121315992828814
"18",-2,"IPW",-0.0118256064185688,0.0673070825452198,0.00453024336074903,0.104190215437768,0.105932485850384,"1:1",0.00150503211938301
"19",2,"MLE",0.00633232896525749,0.0705803651007371,0.00498158793775335,0.107226845211552,0.102872539711624,"1:2",0.00182237719069596
"20",1.5,"MLE",0.00156175417375223,0.0541384091923234,0.00293096734987545,0.0841503761539055,0.0871541093919671,"1:2",0.00139784771461354
"21",1,"MLE",0.00189648366221068,0.0476122928860224,0.00226693043386438,0.0678592099836705,0.0681446088608691,"1:2",0.00122934411614876
"22",0.5,"MLE",0.00281192685590635,0.0391020867121411,0.0015289731852438,0.058259746923369,0.058220673442042,"1:2",0.00100961153758721
"23",0,"MLE",0.00232121062111968,0.0400538290455885,0.00160430922121323,0.0547255422170942,0.0573783182131867,"1:2",0.00103418541896936
"24",-0.5,"MLE",-0.00199363820190105,0.0384153901323245,0.00147574219901869,0.058342961742718,0.0580996562883907,"1:2",0.000991881108137023
"25",-1,"MLE",-0.00733201203934613,0.0474478522340267,0.00225129868162203,0.0683922053574813,0.0680903122341613,"1:2",0.00122509827677131
"26",-1.5,"MLE",-0.00384100577901891,0.0555834411867469,0.00308951893416055,0.0836139646868068,0.0824212079939661,"1:2",0.00143515828027447
"27",-2,"MLE",-0.00508806923902661,0.068105236630321,0.00463832325647202,0.104157318512347,0.104841618457474,"1:2",0.00175846964839166
"28",2,"IPW",0.0119653104490935,0.0831521853249944,0.00691428592432221,0.126960964567459,0.123998717377353,"1:2",0.00214698019309637
"29",1.5,"IPW",0.00551783460171048,0.0701756043099883,0.00492461544027205,0.0965648590628799,0.0976365182644229,"1:2",0.00181192631201751
"30",1,"IPW",0.00157961439561805,0.050831518807519,0.00258384330427916,0.07392586333554,0.0753341824218133,"1:2",0.00131246417202634
